Stadsdel ◄,Lägenhet,Bos.t. ◄,m2 ◄,Sk.fr. pris € ◄,€/m2 ◄,Br ◄,Vån ◄,Hiss ◄,Skick ◄,Tomt ◄,Energik. ◄
Keskusta länsi,"2h, kk, kh, ran...",kt,"42,00",123900,2950,1962,8/9,ja,bra,egen,D2013
Raunistula,"1h, avok, s",kt,"45,50",184000,4044,2012,2/5,ja,bra,egen,E
Majakkaranta,"2h, k, kph, s, ...",kt,"52,00",172000,3308,1993,3/8,ja,bra,egen,F2013
Keskusta / linnanfältti,"2 h,kt,p",kt,"36,00",165890,4608,2020,4/4,ja,,hyrd,B2018
Kakolanmäki,"2 h,kt,s,vh",kt,"48,00",194900,4060,2020,2/6,ja,,hyrd,B2018
Keskusta,2h+k+p,kt,"49,00",167000,3408,1961,7/9,ja,nöjaktig,egen,F2013
Keskusta,"2h,k,kph,p",kt,"51,00",172000,3373,1964,3/7,ja,bra,egen,E2007
Keskusta,"2h kt, s",kt,"86,00",600000,6977,1898,4/5,ja,bra,egen,C
Satama,"2 h,kt,vh",kt,"43,00",204250,4750,2019,5/6,ja,,egen,B2013
Suikkila,2h+k+p,kt,"53,00",112000,2113,1966,4/8,ja,nöjaktig,egen,F2013
Keskusta,"2h, kt",kt,"80,00",526000,6575,1898,2/5,ja,bra,egen,C
Luolavuori,2h+kk,kt,"45,00",139000,3089,1961,1/8,ja,bra,egen,G2013
Runosmäki,"2 h, k, kph/wc,...",kt,"60,50",68000,1124,1977,2/6,nej,bra,egen,D2007
Raunistula,"2 h,kk,sauna.",kt,"49,00",193000,3939,2012,3/5,ja,bra,egen,E2013
Hannunniittu,"2 h, kk, kph, p",kt,"51,50",137000,2660,1972,6/6,ja,bra,egen,E2013
Nättinummi,2h+k+kph+2x vh,kt,"60,50",126000,2083,1972,3/7,ja,bra,egen,D2013
Keskusta,2h+kk+kh+p,kt,"45,00",147000,3267,1961,3/9,ja,bra,egen,F2013
Kakola,2H+KT+S,kt,"47,50",209900,4419,2020,5/6,ja,bra,egen,B2018
Satama,"1 h,tk,parveke",kt,"28,00",147000,5250,2020,3/7,ja,,egen,A2018
Halinen,"2h, k, kph, s, ...",kt,"62,50",100000,1600,1990,3/3,nej,bra,egen,F2013
Varissuo,"2h,k,kph,vh,las.p",kt,"58,50",63500,1085,1979,3/7,ja,bra,egen,F2013
Suikkila,"2h,k,kph,p",kt,"59,00",85000,1441,1973,2/3,nej,,egen,E2013
Satama,"1 h,tk,parveke",kt,"28,00",150000,5357,2020,4/7,ja,,egen,A2018
Kakolanmäki,2h+kt+s,kt,"47,50",212400,4472,2020,6/6,nej,bra,hyrd,B2018
Satama,"2 h,k,vh,parvek...",kt,"50,00",225000,4500,2020,2/6,ja,,egen,A2018
Paattinen,"2h,k,kph,vh,patio",kt,"44,00",45000,1023,1973,1/3,nej,nöjaktig,egen,E2013
Patterinhaka,"2h,kk",kt,"41,00",112750,2750,1955,6/7,ja,bra,egen,F2013
Satama,"1 h,tk,parveke",kt,"28,00",150000,5357,2020,4/6,ja,,egen,A2018
Keskusta,"2 h,k,kph,parv",kt,"54,00",163000,3019,1963,2/7,ja,nöjaktig,egen,D2007
Lauste,"2h, k, p",kt,"59,00",55000,932,1973,1/4,ja,nöjaktig,hyrd,F2013
Kakolanmäki,"2 h,kt,s,vh",kt,"48,00",199900,4165,2020,3/6,ja,,hyrd,B2018
Kakolanmäki,"2 h,kt,s,vh",kt,"48,00",214900,4477,2020,6/6,ja,,hyrd,B2018
Kakolanmäki,"2 h,kt,s,vh",kt,"49,00",192750,3934,2020,2/6,ja,,hyrd,B2018
Kakolanmäki,"2 h,kt,s,vh",kt,"49,00",192750,3934,2020,2/6,ja,,hyrd,B2018
Kakolanmäki,"2 h,kt,s,vh",kt,"49,00",197750,4036,2020,3/6,ja,,hyrd,B2018
Nummi,2h+kt,kt,"50,50",86000,1703,1966,2/2,nej,nöjaktig,egen,F2007
Hurttivuori,2h+k+las. p,kt,"51,00",75000,1471,1966,3/3,nej,nöjaktig,egen,F2013
Raunistula,2h+k+parv,kt,"53,50",95000,1776,1965,2/4,nej,nöjaktig,egen,D2007
Varissuo,"2h, k",kt,"64,00",70000,1094,1985,3/4,nej,bra,egen,E
Satama,"1 h,tk,parveke",kt,"28,00",144000,5143,2020,2/6,ja,,egen,A2018
Satama,"2 h,k,vh,s",kt,"51,00",226745,4446,2019,4/7,ja,,egen,B2013
Luolavuori,"2h, k, p",kt,"53,50",113000,2112,1968,6/8,ja,nöjaktig,egen,F2013
Ilpoinen,"2h,k,kph",kt,"55,00",70000,1273,1971,1/3,nej,nöjaktig,egen,F2013
Satama,"1 h,tk,parveke",kt,"28,00",144000,5143,2020,2/7,ja,,egen,A2018
Satama,"2 h,kt,vh",kt,"43,00",198230,4610,2019,4/6,ja,,egen,B2013
Länsikeskus,2h+k+ph+sauna,kt,"56,00",132000,2357,1985,1/2,nej,bra,egen,F2007
Keskusta,2h+k+s+parv.,kt,"43,00",165000,3837,1995,5/6,ja,bra,egen,F2013
Martti,"2h,k,s,lasit.pa...",kt,"66,00",217800,3300,1989,2/6,ja,bra,egen,C2007
Ilpoinen,2-3H+K+KPH+P,kt,"73,00",115000,1575,1972,3/7,ja,nöjaktig,egen,C2018
Satama,"1 h,tk,parveke",kt,"28,00",147000,5250,2020,3/6,ja,,egen,A2018
Keskusta,"2h,kk,s",kt,"53,50",200000,3738,1994,2/7,ja,bra,egen,D
Satama,"2 h,k,s,parveke...",kt,"56,00",252000,4500,2020,1/6,ja,,egen,A2018
Raunistula,2h+kt+s+p,kt,"46,50",226200,4865,2019,4/6,ja,bra,egen,C2013
Harittu,2h+k,kt,"58,00",96000,1655,1989,3/3,nej,bra,egen,C2007
Varissuo,"2h,k,kph,p",kt,"63,50",59500,937,1977,3/4,nej,nöjaktig,egen,F2013
Linnanfältti,"2 h,kt",kt,"33,00",139890,4239,2020,1/4,ja,,hyrd,B2018
Linnanfältti,"2 h,kt",kt,"41,00",177890,4339,2020,3/3,ja,,hyrd,B2018
Keskusta,"2 h, kk, kph, s...",kt,"62,00",251500,4056,2008,3/5,ja,bra,egen,F2013
Linnanfältti,"2 h,kt",kt,"33,00",142890,4330,2020,3/4,ja,,hyrd,B2018
Linnanfältti,"2 h,kt",kt,"33,00",144890,4391,2020,4/4,ja,,hyrd,B2018
Runosmäki,2 h+k+kph+p,kt,"63,00",74000,1175,1972,2/3,nej,nöjaktig,egen,E2007
Keskusta,2-3h+k+kph+wc,kt,"95,50",275000,2880,1948,6/7,ja,bra,egen,E2013
Suikkila,2h+pk,kt,"45,00",92000,2044,1970,1/8,ja,nöjaktig,egen,F2013
Kohmo,1h+tk+s,kt,"43,00",98000,2279,1993,1/1,ja,bra,egen,E2013
Itäinen keskusta,1-2h+k+kph/wc+s...,kt,"61,00",190000,3115,1991,5/7,ja,bra,hyrd,E2013
Luolavuori,2 h+k+kph+p,kt,"51,00",138000,2706,1959,2/7,ja,bra,egen,D2007
Port arthur,"2h,avok.,kph,s",kt,"52,00",196000,3769,2009,3/6,ja,bra,egen,C2007
Hepokulta,"2h,k,kph,lasit.p",kt,"59,00",90000,1525,1971,2/8,ja,bra,egen,F2013
Uittamo,2h+k+kph,kt,"52,00",118500,2279,1966,3/8,nej,bra,egen,F2013
Keskusta,"2h,k,kph",kt,"68,00",203500,2993,1928,5/6,ja,nöjaktig,egen,G2013
Kakola,2H+KT+S,kt,"48,50",203900,4204,2020,4/6,ja,bra,hyrd,B2018
Läntinen keskusta,2h+k+kh+pv,kt,"56,50",179500,3177,1971,3/8,nej,nöjaktig,egen,D2007
Keskusta itä,"2h,k,kh,lasit.p...",kt,"47,00",145000,3085,1963,1/6,ja,nöjaktig,egen,E2007
Suikkila,2h+k+kph,kt,"60,00",90000,1500,1972,3/3,nej,bra,egen,F2013
Portsa,2h+k+kph/wc+las...,kt,"59,00",175000,2966,1971,2/6,ja,nöjaktig,egen,G2013
Martti,"2h, k, kh, p",kt,"60,00",175000,2917,1961,6/6,ja,bra,egen,
Lauste,"2h,k,kph/wc, vh...",kt,"59,00",55000,932,1974,8/8,ja,,hyrd,E2013
Runosmäki,"2h, k, kph, par...",kt,"55,00",76116,1384,1977,3/6,nej,bra,egen,D2007
Keskusta,"2h, k, s",kt,"84,50",235000,2781,1991,5/5,ja,nöjaktig,egen,B2013
Nummi,"2h,kk,kph,ransk...",kt,"41,00",111002,2707,1960,4/4,nej,nöjaktig,egen,E2007
Kohmo,1h+tk+s,kt,"41,00",107000,2610,1993,3/7,ja,,egen,E2013
Läntinen keskusta,2H+k,kt,"50,00",130750,2615,1954,4/4,nej,nöjaktig,egen,F2013
Teräsrautela,2 h+k+kph+p,kt,"55,50",107500,1937,1985,3/3,nej,bra,egen,E2013
Telakkaranta,2h+tk+kph/wc+vh...,kt,"37,00",230000,6216,2015,4/7,ja,bra,egen,C2013
Pohjola,2h+kk+s+p,kt,"44,00",140000,3182,1957,3/7,nej,bra,egen,F2013
Harittu,2h+kk,kt,"43,00",82000,1907,1989,2/3,nej,nöjaktig,egen,C2013
Itäinen keskusta,"2h,k,p",kt,"49,00",178000,3633,1960,7/8,ja,nöjaktig,egen,G
Luolavuori,2h+k+ranskal. p,kt,"51,00",123000,2412,1961,4/8,ja,nöjaktig,egen,G2013
Suikkila,"2h, k, p",kt,"59,00",85000,1441,1975,2/3,nej,bra,egen,D2018
Läntinen keskusta,"2 h,kt,sauna",kt,"60,50",268000,4430,2014,5/6,ja,bra,egen,B2007
Paltta,"2 h,k,kph,vh,p",kt,"61,00",100000,1639,1975,2/5,nej,nöjaktig,egen,
Uittamo,"2h,k,kph,vh",kt,"52,00",115000,2212,1968,5/8,ja,bra,egen,F2013
Luolavuori,"2h, k",kt,"53,00",78000,1472,1966,3/5,ja,nöjaktig,egen,F
Luolavuori,2h+k+parv,kt,"53,50",135500,2533,1968,3/8,ja,bra,egen,F2013
Härkämäki,"2h,k,kph,p",kt,"65,00",60000,923,1980,4/8,ja,nöjaktig,egen,B2013
Läntinen keskusta,2h+k+wc/kph,kt,"57,00",235000,4123,1928,5/5,ja,bra,egen,D
Lauste,"2h, k, lasit.p",kt,"58,50",84000,1436,1975,1/8,ja,bra,hyrd,C2007
Koivula,2h+k +s,kt,"58,50",92000,1573,1985,3/3,nej,nöjaktig,egen,D2007
Keskusta,"2h, kk, s",kt,"53,00",168000,3170,1936,5/7,ja,bra,egen,B
Koivula,2h,kt,"59,50",106000,1782,1983,4/6,ja,bra,egen,C
Laukkavuori,"2 h, k, kph, p.",kt,"60,50",109500,1810,1972,1/7,ja,bra,egen,G2013
Uittamo,2h+k+kph+vh,kt,"57,00",96500,1693,1974,2/4,nej,bra,egen,D2007
Keskusta,"2h,k,vh,kph,wc,...",kt,"85,00",250258,2944,1991,4/5,ja,nöjaktig,egen,B2013
Kakolanmäki,"2h, k, s",kt,"48,50",205900,4245,2020,5/6,ja,bra,hyrd,B2018
Kakola,2h+k+pati,kt,"37,00",197000,5324,1911,1/5,ja,bra,egen,
Läntinen keskusta,"2h, k, p",kt,"57,00",175000,3070,1967,6/11,ja,,egen,F
Raunistula,2h+kt+p,kt,"37,00",200000,5405,2019,6/6,ja,bra,egen,C2013
Keskusta,2h+kk,kt,"46,00",127000,2761,1949,4/4,nej,bra,egen,F2013
Keskusta,"2h, kt, s, p",kt,"46,00",186000,4043,2007,7/8,ja,bra,egen,E
Härkämäki,"2h, k, kph, vh,...",kt,"58,50",74400,1272,1977,2/2,nej,bra,egen,C2007
Keskusta,"2 h,kk,kph",kt,"45,00",154000,3422,1961,4/8,ja,,egen,F2018
Kakolanmäki,"2 h,kt,s,vh",kt,"48,00",204900,4269,2020,4/6,ja,,hyrd,B2018
Itäinen keskusta,2h,kt,"49,00",170000,3469,1960,7/8,ja,bra,egen,G
Majakkaranta,"2h, avokeitti&#...",kt,"52,00",138000,2654,1993,1/8,ja,bra,egen,F2013
Pääskyvuori,"2h, k, p, kph/wc",kt,"59,00",88000,1492,1972,6/7,ja,,egen,G2013
Keskusta,"2h, k",kt,"51,00",154000,3020,1967,9/11,ja,bra,egen,F
Pohjola,2h+kt+s,kt,"43,00",196000,4558,2018,2/7,ja,bra,egen,C2013
Lauste,2h+kk,kt,"46,50",49500,1065,1981,3/4,nej,nöjaktig,egen,F2013
Majakkaranta,"1h, tk, s",kt,"51,00",184100,3610,1999,4/5,ja,nöjaktig,egen,D2013
Keskusta,"2 h,kt",kt,"40,00",213700,5343,2019,3/5,ja,,egen,C2013
Ruohonpää,"2 h, kt",kt,"42,00",167200,3981,2019,6/6,ja,bra,hyrd,C2018
Hepokulta,2h+k,kt,"59,00",93000,1576,1970,1/4,ja,bra,egen,
Keskusta,"2h, k, las.p",kt,"61,00",220000,3607,1955,7/11,ja,bra,egen,G2013
Läntinen keskusta,"2h, k, kph, s, p",kt,"48,50",180000,3711,2001,8/8,ja,nöjaktig,egen,E2013
Suikkila,2h+kk+kph+s+par...,kt,"49,00",105000,2143,1975,3/3,nej,bra,egen,D2018
Varissuo,2 h+k,kt,"60,00",68150,1136,1976,5/7,nej,nöjaktig,egen,F2013
Nättinummi,"2h, k",kt,"60,50",91500,1512,1971,2/8,ja,nöjaktig,egen,E
Veistämöntori,"2h, k, s, p (2kpl)",kt,"65,50",332000,5069,1996,3/5,ja,bra,egen,E
Kärsämäki,"2 h,k,kph,vh,parv",kt,"51,00",84000,1647,1956,1/3,nej,nöjaktig,egen,F2013
Runosmäki,"2h, k, las.p",kt,"62,00",74000,1194,1974,2/3,nej,nöjaktig,egen,D2007
Paltta,2h+k+kph+2xvh+l...,kt,"62,00",90000,1452,1975,4/5,ja,,egen,E2013
Läntinen keskusta,"2h, k, s",kt,"64,00",322000,5031,2014,5/6,ja,bra,egen,C2018
Läntinen keskusta,"2h, k",kt,"66,00",150000,2273,1957,6/7,ja,nöjaktig,egen,F
Kohmo,"2-3h,k,s,erill....",kt,"70,50",125500,1780,1994,6/7,ja,,egen,E2013
Kupittaa,"2h+k+parv,",kt,"55,00",130000,2364,1964,1/7,ja,nöjaktig,egen,F2013
Keskusta,"2h,kk",kt,"68,00",195000,2868,1929,1/5,ja,bra,egen,C2007
Länsikeskus,2h+k+p,kt,"51,50",167100,3245,2010,3/5,ja,bra,hyrd,D2013
Kakolanmäki,"2 h,kt,sauna",kt,"52,00",156000,3000,2015,-1/4,ja,bra,hyrd,B2013
Läntinen keskusta,2h+kt+s,kt,"54,00",274561,5084,2019,6/6,ja,bra,egen,C2013
Nättinummi,"2 h,k,parveke",kt,"62,00",99000,1597,1975,2/8,ja,bra,egen,E2013
Keskusta,"2h, k",kt,"66,00",152000,2303,1928,5/5,ja,bra,egen,F2013
Martti,2h+k+kph+parveke,kt,"54,00",223000,4130,1965,2/6,ja,bra,egen,G2013
Lauste,"2h,k,kph,vh,p",kt,"58,00",52096,898,1970,4/7,ja,nöjaktig,hyrd,F2013
Martti,2h+k,kt,"49,00",157000,3204,1963,6/9,ja,nöjaktig,egen,F2013
Nummi,2h+k+s,kt,"52,50",240000,4571,2018,5/6,ja,bra,egen,C2018
Herttuankulma,"2h, kt",kt,"39,50",148000,3747,2020,7/7,ja,bra,,B2018
Itäinen keskusta,2h+kk+p,kt,"46,00",159000,3457,1959,6/9,ja,bra,egen,F2013
Kastu,2h+kk,kt,"54,00",128000,2370,1965,3/3,nej,bra,egen,F2007
Keskusta itä,"2h,k,kh,parveke",kt,"46,50",137000,2946,1962,5/7,ja,nöjaktig,egen,F2013
Kärsämäki,"2h, k, kph, las...",kt,"51,00",104449,2048,1971,1/2,nej,bra,egen,E
Runosmäki,"2h, k, p",kt,"56,00",60000,1071,1975,6/6,ja,nöjaktig,egen,E
Länsikeskus,"2 h,kt",kt,"47,00",179258,3814,2019,4/5,ja,bra,hyrd,C2013
Luolavuori,"2h, k, parveke",kt,"52,50",114000,2171,1967,5/8,ja,nöjaktig,egen,D2013
Pohjola,"2 h, k, kph, vh, p",kt,"57,00",188500,3307,1957,7/7,ja,bra,egen,F2013
Martti,2h+k+s,kt,"54,00",197000,3648,1948,5/7,ja,bra,egen,G2013
Läntinen keskusta,2h+k+kph/wc,kt,"44,50",140000,3146,1962,7/8,ja,nöjaktig,egen,D
Läntinen keskusta,2h+k+wc/kph,kt,"47,00",245850,5231,1961,8/8,ja,bra,egen,D
Kakolanmäki,"2 h, k",kt,"36,50",169167,4635,2020,5/6,nej,bra,hyrd,B2018
Kakolanmäki,"2 h, k, s",kt,"47,50",195207,4110,2020,5/6,ja,bra,hyrd,B2018
Ruohonpää,"2 h, kt, vh",kt,"48,50",176200,3633,2019,4/6,ja,bra,hyrd,C2018
Länsikeskus,"2 h,kt",kt,"49,00",185028,3776,2019,3/5,ja,bra,hyrd,C2013
Petrelius,2h+k+p,kt,"61,00",131000,2148,1972,6/8,nej,nöjaktig,egen,
Keskusta,2h+k+kph,kt,"73,00",180000,2466,1925,3/5,nej,nöjaktig,egen,
Port arthur,2h+k,kt,"52,00",150000,2885,1958,4/8,ja,bra,egen,F2013
Pansio,2h+k,kt,"53,00",61125,1153,1948,1/4,nej,dålig,egen,
Keskusta,"2h, kk, p",kt,"38,00",131100,3450,1961,5/6,ja,,egen,D2007
Majakkaranta,"2 h,k,s,vh,lasit.p",kt,"52,00",159000,3058,1993,5/8,ja,bra,egen,F2013
Itäinen keskusta,"2h, k",kt,"54,00",170500,3157,1967,4/7,ja,nöjaktig,egen,G
Luolavuori,"2h, k",kt,"49,00",139000,2837,1961,1/4,nej,bra,egen,G2013
Itäinen keskusta,2h+k+kph+p,kt,"54,00",171500,3176,1959,5/8,ja,bra,egen,F2013
Härkämäki,"2h,k,kh,lasit.p...",kt,"65,00",67489,1038,1984,6/8,nej,nöjaktig,egen,
Majakkaranta,"2-3 h, k, s, p",kt,"75,00",306000,4080,2001,13/16,ja,nöjaktig,egen,C2007
Nummi,2h+kk+kh,kt,"53,00",136500,2575,1958,8/10,nej,bra,egen,
Kakolanmäki,"2 h,k,parveke",kt,"46,50",198000,4258,2017,3/6,ja,bra,egen,C2013
Lauste,"2h, k",kt,"57,00",46000,807,1973,1/4,nej,nöjaktig,hyrd,D
Martti,"2 h,k,kph,parv",kt,"57,00",210283,3689,1953,4/7,ja,,egen,D2007
Keskusta,2h+k+kph+wc+vh+s,kt,"61,00",187500,3074,1953,3/7,ja,nöjaktig,egen,F2013
Martti,"2 h, k, kpk, p.",kt,"60,00",174000,2900,1958,5/6,nej,dålig,egen,
lpoinen,"2h,k,kph,p",kt,"60,00",92000,1533,1973,4/9,ja,nöjaktig,egen,F2013
Petrelius,"2h, k, parveke",kt,"60,00",129000,2150,1974,2/8,ja,bra,egen,D
Kakola,"2h, kt, s",kt,"47,50",213076,4486,2020,6/6,ja,bra,hyrd,
Luolavuori,"2h, k",kt,"51,00",145000,2843,1959,2/6,ja,bra,egen,D
Itäharju,"2h,k,kph,erill....",kt,"57,00",82000,1439,1969,4/8,ja,nöjaktig,egen,E2018
Runosmäki,2h+k,kt,"60,50",83000,1372,1979,2/6,nej,bra,egen,
Keskusta,3h+k+s+vh+p,kt,"72,00",219000,3042,1983,3/5,ja,nöjaktig,egen,D2007
Satama,"3 h,k,s,khh,eri...",kt,"104,00",493000,4740,2020,7/7,ja,,egen,A2018
Nummi,"3h, k, kph, p",kt,"95,50",230000,2408,1951,2/4,nej,bra,egen,F2007
Ilpoinen,"3h, k, kh, wc, p",kt,"67,00",112000,1672,1971,5/8,ja,bra,egen,E2013
Runosmäki,"3 h, k, kph, wc...",kt,"79,00",99000,1253,1972,6/7,ja,bra,egen,D2007
Itäharju,3h+k+kph/wc+s+v...,kt,"69,00",220000,3188,2012,1/3,ja,bra,egen,B2013
Itäinen keskusta,"3 h, k, s",kt,"83,50",294000,3521,1999,5/8,ja,bra,egen,F2013
Uittamo,3 h+k+wc+kph+kh...,kt,"82,00",153000,1866,1974,3/7,nej,bra,egen,C2007
Martti,"3h, kk, kh",kt,"60,00",182000,3033,1939,3/5,ja,bra,hyrd,D2013
Keskusta,"3 h, k, kph, s, p.",kt,"80,50",230000,2857,1936,5/6,ja,bra,egen,C2007
Martti,"3h, k",kt,"66,00",217500,3295,1953,1/7,ja,bra,egen,C
Luolavuori,"3h, k, p",kt,"63,00",147000,2333,1961,5/8,ja,bra,egen,G2007
Suikkila,"3h,k,kph,vh,p",kt,"66,00",130000,1970,1968,3/8,ja,bra,egen,F2013
Kastu,3h+k,kt,"77,50",144000,1858,1970,1/3,nej,nöjaktig,egen,F2013
Port arthur,3 h+k,kt,"75,00",230000,3067,1958,6/8,ja,,egen,F2013
Ilpoinen,"3h,avokeitti...",kt,"76,50",146500,1915,1975,4/8,ja,bra,egen,
Ilpoinen,3h + k,kt,"76,50",132500,1732,1974,7/9,ja,bra,egen,F
Keskusta,"3h, k, kh, p",kt,"74,00",228000,3081,1958,6/7,ja,bra,egen,E2018
Varissuo,"3h, k",kt,"76,50",77000,1007,1976,9/9,ja,bra,egen,F
Uittamo,3h+k+s,kt,"80,00",144000,1800,1978,7/7,ja,bra,egen,D2007
Ilpoinen,"3 h, k, kph, p",kt,"73,00",100000,1370,1971,1/3,nej,bra,egen,D2018
Martti,3h+k+kph+parveke,kt,"65,50",232000,3542,1964,6/7,ja,bra,egen,E2013
Perno,3h+k+s,kt,"79,00",104000,1316,1984,2/3,nej,bra,egen,F2013
Härkämäki,"3h, k, las.p",kt,"79,50",87000,1094,1977,3/3,nej,nöjaktig,egen,C2007
Vasaramäki,"3h, k, kh, p",kt,"62,00",110000,1774,1961,2/4,nej,nöjaktig,hyrd,F2007
Satama,"3 h,k,s,khh,eri...",kt,"117,00",528000,4513,2020,6/6,ja,,egen,A2018
Varissuo,"3h,k,kph,sauna,...",kt,"77,00",88000,1143,1980,2/3,nej,bra,egen,E2013
Kakola,"3h, kt, kph, s,...",kt,"66,00",320000,4848,2018,1/2,ja,bra,hyrd,C2018
Keskusta,3h+k+kph+parveke,kt,"67,00",153000,2284,1960,4/9,ja,dålig,egen,D2018
Luolavuori,"3h, k, parveke",kt,"76,50",160000,2092,1974,4/8,ja,bra,egen,D
Lauste,3h+k+kph+wc+vh+...,kt,"75,00",65000,867,1969,7/7,ja,nöjaktig,hyrd,F2013
Varissuo,3h+k+s,kt,"76,50",74000,967,1980,2/6,ja,nöjaktig,egen,E2013
Suikkila,"3h,k, kh,wc, la...",kt,"80,00",156237,1953,1974,3/6,ja,bra,egen,G2013
Lauste,"3h,k,kph,lasite...",kt,"72,50",59000,814,1980,4/4,nej,nöjaktig,egen,F2013
Keskusta länsi,"3h, k, s, p",kt,"84,00",250000,2976,1989,3/6,ja,nöjaktig,egen,A2013
Jäkärlä,"3 h,k,kph,erill...",kt,"76,00",77000,1013,1981,1/1,nej,bra,egen,F2013
Majakkaranta,"3h,k,s,",kt,"79,00",240000,3038,2000,1/7,ja,bra,egen,F2013
Kärsämäki,3-4h+k+kph+p,kt,"73,50",145000,1973,1956,2/3,nej,bra,egen,F2013
Itäinen keskusta,"3h, k, p",kt,"59,00",202000,3424,1961,6/6,ja,nöjaktig,egen,D
Luolavuori,"3h,k,kh",kt,"68,00",152000,2235,1961,3/4,nej,bra,egen,G2013
Harittu,"3h,k,s",kt,"69,50",160000,2302,1988,5/5,ja,bra,egen,C2013
Kaerla,"3h,kk",kt,"71,00",132100,1861,1964,6/6,ja,nöjaktig,egen,D2013
Keskusta,3h+k+s,kt,"105,50",318000,3014,1991,5/5,ja,bra,egen,B2007
Koivula,"3h, ak",kt,"62,50",134000,2144,1985,3/6,ja,bra,egen,F
Satama,"3 h,k,s,erill. ...",kt,"81,00",366000,4519,2020,4/6,ja,,egen,A2018
Ispoinen,3h+k,kt,"67,00",112484,1679,1966,4/5,ja,bra,egen,F2013
Luolavuori,3h+k+p,kt,"75,00",139500,1860,1980,3/6,ja,nöjaktig,egen,C2013
Mälikkälä,"3h, kt, s",kt,"71,50",265961,3720,2018,3/4,ja,bra,egen,C
Halinen,3 h+k+s,kt,"92,00",129000,1402,1990,1/3,nej,bra,egen,F2013
Varissuo,3h+k,kt,"76,50",69000,902,1980,5/7,ja,nöjaktig,egen,E2013
Nättinummi,"3h,avok.,kph,s,...",kt,"76,50",123000,1608,1977,7/9,ja,bra,egen,B2013
Satama,"3 h,k,vh,s",kt,"61,00",253000,4148,2019,2/6,ja,,egen,B2013
Iso-heikkilä,"3 h, k, p",kt,"69,00",153000,2217,1959,2/7,ja,nöjaktig,egen,G2013
Keskusta,2-3h+k+vh+lasit...,kt,"69,00",190000,2754,1957,2/12,ja,bra,egen,F2013
Martti,"2 h, k, kph, p.",kt,"69,00",235000,3406,1953,7/7,ja,nöjaktig,egen,E2013
Luolavuori,"3h, kk",kt,"68,00",145900,2146,1961,1/4,nej,nöjaktig,egen,G2013
Uittamo,3h+k,kt,"71,00",158000,2225,1968,5/6,ja,nöjaktig,egen,D2007
Perno,"3h,k,kph,s,las.p",kt,"79,00",86000,1089,1983,2/3,nej,nöjaktig,egen,F2013
Itäinen keskusta,"3h,k,kph,p",kt,"87,00",293011,3368,1958,4/7,ja,nöjaktig,egen,G2013
Kakolanmäki,"3 h,kt,s",kt,"74,00",317000,4284,2020,4/6,ja,,hyrd,B2018
Keskusta,"3h,k,p",kt,"74,00",205000,2770,1950,2/7,ja,nöjaktig,egen,E2013
Hannunniittu,3h+k,kt,"75,50",123000,1629,1972,2/6,ja,nöjaktig,egen,E2013
Perno,"3h,k,s,kph,p",kt,"79,00",91000,1152,1983,1/3,nej,bra,egen,F2013
Satama,"3 h,k,2xvh,s",kt,"101,00",474360,4697,2019,6/6,ja,,egen,B2013
Portsa,"3 h, k",kt,"68,00",228500,3360,1958,7/8,ja,bra,egen,F
Länsiranta,"2-3 h,kt,s,parv",kt,"73,00",379600,5200,2019,3/6,ja,,egen,C2018
Nummi,"3 h, k, kph, p.",kt,"75,00",109809,1464,1971,2/3,nej,nöjaktig,egen,F2013
Itäinen keskusta,3h+k+vh+kph+p,kt,"63,00",234000,3714,1967,9/9,ja,bra,egen,D2013
Keskusta / linnanfältti,"2-3 h,kt,s",kt,"62,00",297417,4797,2019,4/5,ja,,egen,C2013
Satama,"3 h,k,s,parveke",kt,"69,00",305000,4420,2020,3/6,ja,,egen,A2018
Satama,"3 h,k,s,parveke",kt,"69,00",309000,4478,2020,4/6,ja,,egen,A2018
Satama,"3 h,k,s,parveke",kt,"69,00",313000,4536,2020,5/6,ja,,egen,A2018
Kärsämäki,"3h, k, saunaosasto",kt,"105,00",130000,1238,1952,1/2,nej,bra,hyrd,D2013
Lauste,"3h,k,ph,wc,p",kt,"77,00",65000,844,1976,4/4,nej,bra,egen,F2013
Itäinen keskusta,"3 h,pk.kph,parv",kt,"52,00",176000,3385,1966,2/7,ja,,egen,E2013
Keskusta,"3 h,k,avok.,kph...",kt,"53,00",161500,3047,1961,2/6,ja,,hyrd,D2007
Runosmäki,3 h+k,kt,"79,00",85000,1076,1976,1/6,ja,nöjaktig,egen,C2007
Itäinen keskusta,"2-3 h, avok, ph...",kt,"95,00",360000,3789,1962,7/7,ja,bra,egen,F2013
Satama,"3 h,k,s",kt,"55,00",259600,4720,2019,6/7,ja,,egen,B2013
Ruohonpää,3h+KT+S,kt,"60,00",219100,3652,2019,4/6,nej,bra,hyrd,
Ruohonpää,3h+KT+S,kt,"60,00",214800,3580,2019,3/6,nej,bra,hyrd,
Ruohonpää,3h+KT+S,kt,"60,00",223400,3723,2019,5/6,nej,bra,hyrd,
Varissuo,"3h, k, kph,p",kt,"78,00",69000,885,1977,3/3,ja,bra,egen,F2013
Uittamo,"3 h,k,sauna",kt,"79,00",144000,1823,1986,1/7,ja,nöjaktig,egen,B2007
