Stadsdel ◄,Lägenhet,Bos.t. ◄,m2 ◄,Sk.fr. pris € ◄,€/m2 ◄,Br ◄,Vån ◄,Hiss ◄,Skick ◄,Tomt ◄,Energik. ◄
Linnanfältti,"1 h,kt",kt,"28,00",133890,4782,2020,4/4,ja,,hyrd,B2018
Keskusta,"1h, k",kt,"38,00",141000,3711,1961,5/6,ja,nöjaktig,egen,D
Raunistula,1h+tupak+s,kt,"42,00",174000,4143,2013,1/5,nej,bra,egen,
Itäinen keskusta,1h,kt,"26,70",123000,4607,1929,1/6,ja,nöjaktig,egen,F
Teräsrautela,"1h, kk, kph, vh",kt,"34,00",78143,2298,1985,2/3,nej,nöjaktig,egen,E2007
Martti,"1h,alkovi,k,vh,...",kt,"40,50",147500,3642,1989,4/6,ja,nöjaktig,egen,C2007
Suikkila,"1h,kk,kph/wc,vh",kt,"35,00",69000,1971,1975,2/3,nej,,egen,D2018
Keskusta,1h+kk,kt,"29,50",135700,4600,1962,6/8,ja,nöjaktig,egen,D2007
Pansio,1h+kt,kt,"44,00",50000,1136,1946,1/2,nej,bra,egen,
Keskusta,"1h,k,kph,p",kt,"51,00",158000,3098,2001,2/4,ja,,egen,
Kakolanmäki,"h,kt",kt,"30,00",152500,5083,2018,3/5,ja,bra,egen,C2013
Telakkaranta,1h+tk+alk,kt,"33,50",181000,5403,2015,3/7,ja,bra,egen,C2013
Westpark,1h+kt+alk+s,kt,"36,50",144000,3945,2012,3/5,ja,bra,egen,A2007
Uittamo,"1 h,k,sauna",kt,"40,00",89500,2238,1981,1/4,ja,nöjaktig,egen,C2007
Ruohonpää,1h+kt+kph+lasit...,kt,"30,00",135998,4533,2018,2/8,ja,bra,egen,C
Ilpoinen,1h+kk+p,kt,"31,00",71000,2290,1974,3/8,ja,dålig,egen,F2013
Iso-heikkilä,"1h, kk",kt,"31,00",96000,3097,1959,2/7,ja,bra,egen,G
Ilpoinen,"1h,kk,vh,p",kt,"31,00",79500,2565,1974,8/8,ja,bra,egen,F2013
Keskusta,"1 h,kt",kt,"28,00",155000,5536,2019,2/5,ja,,egen,C2013
Runosmäki,"1 h, kk, ph, vh",kt,"33,00",56000,1697,1976,2/6,ja,nöjaktig,egen,C2007
Raunistula,1h+kt+p,kt,"25,00",157500,6300,2019,5/6,ja,bra,egen,C2013
Läntinen keskusta,Autohallipaikka,kt,"12,50",25363,2029,2019,,nej,,egen,
Kupittaa,"1h, kk",kt,"29,00",130000,4483,1958,6/6,ja,bra,egen,E
Iso-heikkilä,"1 h, kk, ph",kt,"31,00",87000,2806,1959,7/7,ja,nöjaktig,egen,G2013
Keskusta,"1h,kk,alk,kph",kt,"30,00",120000,4000,1951,2/4,nej,bra,egen,D2007
Keskusta,"1h, kk, wc",kt,"30,00",133000,4433,1927,2/5,ja,bra,egen,D
Kakolanmäki,"1h, kt, alk",kt,"37,00",166377,4497,2020,6/6,ja,bra,hyrd,B2018
Länsikeskus,"1 h,kt,alk",kt,"37,00",142450,3850,2019,3/5,ja,bra,hyrd,C2013
