"Stadsdel ◄","Lägenhet","Bos.t. ◄","m2 ◄","Sk.fr. pris € ◄","€/m2 ◄","Br ◄","Vån ◄","Hiss ◄","Skick ◄","Tomt ◄","Energik. ◄"
"Kaerla","2h,k,kph,las.p","kt","55,00",95000,1727,1964,"3/4","ei","hyvä","oma","D2007"
"Raunistula","2 h+k+kph+p","kt","55,00",123000,2236,1964,"3/4","ei","hyvä","oma","G2013"
"Satama","2 h,k,vh,parveke","kt","57,00",250000,4386,2020,"3/7","on"," ","oma","A2018"
"Vasaramäki","2h,k,p","kt","47,00",89300,1900,1961,"2/4","ei","tyyd.","vuokra","F2007"
"Suikkila","2h+kk+s","kt","56,00",127000,2268,1984," ","on"," ","oma","D2013"
"Martti","2h+k+kh","kt","57,00",195080,3422,1957,"2/6","on","tyyd.","oma","F2013"
"Uittamo","2h, kk, p","kt","47,00",125000,2660,1972,"2/3","ei","hyvä","oma","C"
"Ilpoinen","2h, kk, kh","kt","47,50",102000,2147,1968,"2/3","ei","hyvä","oma","E2007"
"Jäkärlä","2h+k+kph/wc+vh+...","kt","60,00",52000,867,1981," ","ei","tyyd.","oma","F2013"
"Pääskyvuori","2h+k+parv.","kt","59,00",110000,1864,1969,"2/5","on","hyvä","oma","G2013"
"Patterinhaka","2h,k,kph,p","kt","62,00",144001,2323,1956,"2/7","on","hyvä","oma","F2013"
"Keskusta länsi","2, k, kh, s, la...","kt","49,00",198000,4041,1963,"2/7","ei","hyvä","oma","D2018"
"Satama","2 h,k,vh,s","kt","56,00",234500,4188,2019,"2/6","on"," ","oma","B2013"
"Keskusta","2h+k","kt","45,00",190122,4225,1958,"2/7","on","tyyd.","oma","G2013"
"Kähäri","2h,tupakeitti&#...","kt","48,00",175000,3646,2013,"2/4","on","hyvä","oma","D2007"
"Hannuniittu","2h,k,kph,wc","kt","61,00",124800,2046,1974,"2/7","on","tyyd.","oma","E2013"
"Laukkavuori","2h+k+parv","kt","60,50",119100,1969,1971,"2/7","on","tyyd.","oma","F2013"
"Teräsrautela","2h+k+s","kt","61,00",150100,2461,1989,"2/3","ei","hyvä","oma","F2013"
"Satama","2 h,k,vh,terassi","kt","57,00",252000,4421,2020,"2/6","on"," ","oma","A2018"
"Suikkila","2h,k,s","kt","59,00",150000,2542,1984,"2/5","on","hyvä","oma","D2013"
"Satama","2 h,k,vh,s","kt","51,00",216000,4235,2019,"2/6","on"," ","oma","B2013"
"Ilpoinen","2h.kk,kph","kt","47,50",90000,1895,1972,"2/3","ei","hyvä","oma","C2018"
"Pansio","2h+k+kph+vh","kt","57,00",77500,1360,1974,"2/7","on","hyvä","oma","D2013"
"Vasaramäki","2h, k, kh, p","kt","47,00",102000,2170,1961,"2/4","ei","hyvä","vuokra","F2007"
"Herttuankulma","2h, kt","kt","37,00",161000,4351,2020,"2/7","on","hyvä"," ","B2018"
"Kakola","2H+KT","kt","39,50",173474,4392,2020,"2/6","on","hyvä","vuokra","B2018"
"Satama","2 h,k,vh,parvek...","kt","50,00",220000,4400,2020,"2/7","on"," ","oma","A2018"
"Vienola","2h, k","kt","55,00",71000,1291,1966,"2/3","ei","tyyd.","oma","F"
"Perno","2h+k","kt","59,00",65000,1102,1968,"2/2","ei","huono","oma","E2013"
"Vasaramäki","2h,k,p","kt","47,00",89999,1915,1961,"2/4","ei","tyyd.","vuokra","F2007"
"Satama","2 h,k,vh,s","kt","51,00",216275,4241,2019,"2/7","on"," ","oma","B2013"
"Itäinen keskusta","2 h,k","kt","76,00",228000,3000,1962,"2/7","on","tyyd.","oma","D2007"
"Satama","2 h,kt,vh,s","kt","50,00",213000,4260,2019,"2/7","on"," ","oma","B2013"
"Keskusta","2h, k, kph, vh","kt","51,00",194000,3804,1951,"2/6","on","hyvä","oma","F2013"
"Keskusta","2h,k","kt","56,00",208000,3714,1967,"2/7","on","hyvä","oma","D2007"
"Lauste","2h,k,kph,vh,parv","kt","58,00",60500,1043,1970,"2/6","on","hyvä","vuokra","F2013"
"Satama","2 h,k,vh,s","kt","56,00",231000,4125,2019,"2/7","on"," ","oma","B2013"
"Varissuo","2h, k, p","kt","57,50",48700,847,1977,"2/3","ei","tyyd.","oma","F2013"
"Satama","2 h,kt,vh,s","kt","50,00",210000,4200,2019,"2/6","on"," ","oma","B2013"
"Runosmäki","2 h+k","kt","61,00",75000,1230,1978,"2/6","on"," ","oma","C2007"
"Teräsrautela","2 h, k, s, p","kt","61,50",118000,1919,1985,"2/3","ei","hyvä","oma","D2007"
"Harittu","3 h+k+s","kt","78,00",128000,1641,1989,"2/3","ei"," ","oma","C2007"
"Keskusta / linnanfältti","2 h,kt","kt","37,00",182500,4932,2020,"2/3","on","hyvä","vuokra","B2018"
"Majakkaranta","2h, k, s, 2 x l...","kt","94,00",440000,4681,2011,"2/8","on","hyvä","oma","B"
"Runosmäki","2h,k, kph,sauna","kt","63,00",82000,1302,1977,"2/3","ei","hyvä","oma","C2007"
"Keskusta / linnanfältti","2 h,kt,s","kt","53,00",262000,4943,2019,"2/5","on"," ","oma","B2018"
"Keskusta","2h+k","kt","59,00",164100,2781,1976,"2/6","on","tyyd.","oma","B2007"
"Jäkärlä","2h,k,kph,lasit....","kt","60,00",57000,950,1981,"2/3","ei","tyyd.","oma","F2013"
"Suikkila","2h+K","kt","60,00",127500,2125,1974,"2/6","on","hyvä","oma","F2013"
"Suikkila","2h, k","kt","53,00",118700,2240,1969,"2/8","on","tyyd.","oma","F2013"
"Kastu","2 h, k, lasp","kt","54,50",131000,2404,1970,"2/3","ei","tyyd.","oma","F2013"
"Raunistula","2h+k+parv.","kt","53,50",99000,1850,1965,"2/4","ei","tyyd.","oma","D2007"
"Lauste","2h+k","kt","60,50",100168,1656,1975,"2/8","on","hyvä","vuokra","C2007"
"Runosmäki","2h,k,kph,p","kt","61,00",70000,1148,1977,"2/6","on","tyyd.","oma","C2018"
"Runosmäki","2h,k,kph,p","kt","61,00",72110,1182,1978,"2/6","on","tyyd.","oma","C2018"
"Kakolanmäki","2 h+kt","kt","39,50",185000,4684,2018,"2/4","ei","hyvä","vuokra","C2018"
"Varissuo","2h+k+vh+kh+wc+l...","kt","62,00",66000,1065,1978,"2/3","ei","hyvä","oma","E2013"
"Ispoinen","2h+k","kt","59,00",103500,1754,1969,"2/5","on","hyvä","oma","F2013"
"Itäharju","2h+k+p","kt","55,00",125500,2282,1966,"2/5","on"," ","oma","F2013"
"Westpark","2h+kt+s","kt","47,50",161000,3389,2012,"2/5","on","hyvä","oma","A2007"
"Itäharju","2h+kt+s","kt","47,50",168000,3537,2013,"2/4","on","hyvä","oma","C2018"
"Runosmäki","2h,k,kph,vh,las...","kt","58,00",66500,1147,1975,"2/3","ei","hyvä","vuokra","D2007"
"Ilpoinen","2h, k, p","kt","60,50",73000,1207,1973,"2/8","on","tyyd.","oma","F"
"Teräsrautela","2-3h,k,s","kt","72,00",114000,1583,1965,"2/2","ei","tyyd.","oma","E2013"
"Keskusta / linnanfältti","2 h,kt,s","kt","49,00",238000,4857,2019,"2/5","on"," ","oma","B2018"
"Nättinummi","2h,k,kph,vh","kt","59,00",111000,1881,1973,"2/8","on","hyvä","oma","F2013"
"Halinen","2h, k, kph, sau...","kt","53,00",120000,2264,1991,"2/3","ei","hyvä","oma","F2013"
"Itäinen keskusta","2 h, kk, ph, vh","kt","43,50",162000,3724,1957,"2/6","on","hyvä","oma","E2013"
"Varissuo","2h, k","kt","60,00",72500,1208,1978,"2/3","ei","tyyd.","oma","F2013"
"Keskusta itä","2h,kk,kh","kt","43,50",160000,3678,1961,"2/7","on","hyvä","oma","G2007"
"Keskusta / linnanfältti","2 h,kt,vh,p","kt","46,00",192123,4177,2020,"2/3","on"," ","vuokra","B2018"
"Satama","2 h,k,vh,terassi","kt","57,00",246000,4316,2020,"2/7","on"," ","oma","A2018"
"Runosmäki","2h+k+kph","kt","56,00",65000,1161,1975,"2/5","on","tyyd.","oma","E2007"
"Vasaramäki","2h, k, kh, p","kt","56,00",155200,2771,1956,"2/4","ei","hyvä","vuokra",
"Satama","2 h,k,vh,terassi","kt","57,00",250000,4386,2020,"2/6","on"," ","oma","A2018"
"Keskusta","2h+kk+kph/wc+pa...","kt","49,00",188500,3847,1955,"2/9","on","hyvä","oma","G2013"
"Pohjola","2h, k, p","kt","57,00",166000,2912,1957,"2/7","on","hyvä","oma","F2013"
"Ilpoinen","2h, kk, kh","kt","47,50",103000,2168,1972,"1/3","ei","hyvä","oma","D2018"
"Majakkaranta","2h,k,s,parveke","kt","53,00",168000,3170,1999,"1/6","on"," ","oma","D2018"
"Nummi","2 h+kk","kt","41,00",100000,2439,1960,"1/4","ei","hyvä","oma","D2007"
"Kakolanmäki","2H,KT,S,P","kt","47,50",195800,4122,2022,"1/6","on","hyvä","vuokra","B2018"
"Kupittaa","2h, k, p","kt","52,00",113500,2183,1963,"1/7","on","tyyd.","oma","D2007"
"Koivula","2h+k+kph/s+patio","kt","52,00",114000,2192,1984," ","ei","tyyd.","oma","D2007"
"Vasaramäki","2h,k, kh","kt","52,00",98800,1900,1961,"1/4","ei","tyyd.","vuokra","F2007"
"Satama","2 h,kt,vh,s","kt","50,00",211500,4230,2019,"1/7","on"," ","oma","B2013"
"Vasaramäki","2h, k, p","kt","52,50",222000,4229,2020,"1/6","on","hyvä","oma","B2018"
"Keskusta itä/ martti","2h,k,kph,vh,las...","kt","55,50",197000,3550,1975,"1/6","on","hyvä","oma","D2007"
"Satama","2 h,k,vh,s","kt","51,00",213000,4176,2019,"1/7","on"," ","oma","B2013"
"Harittu","2h, k, s","kt","63,00",119000,1889,1989,"1/3","ei","hyvä","oma","D2007"
"Luolavuori","2h+k","kt","51,00",88500,1735,1960,"1/4","ei","tyyd.","oma","D2007"
"Satama","2 h,k,vh,s","kt","56,00",233875,4176,2019,"1/6","on"," ","oma","B2013"
"Vasaramäki","2h, k, kh, p","kt","46,00",122000,2652,1961,"1/1","ei","hyvä","vuokra","F2007"
"Pohjola","2h+kk+p+vh","kt","44,00",137000,3114,1957,"1/7","on","tyyd.","oma","F2013"
"Satama","2 h,k,vh,s","kt","56,00",235875,4212,2019,"1/7","on"," ","oma","B2013"
"Varissuo","2h+k","kt","60,00",69100,1152,1980,"1/3","on","hyvä","oma","F2013"
"Vienola","2h,k,vh,kph,las...","kt","59,00",62500,1059,1968,"1/3","ei","tyyd.","oma","F2013"
"Hannunniittu","2h+k","kt","61,00",115000,1885,1972,"1/6","on","tyyd.","oma","E2013"
"Ilpoinen","2h, k, p","kt","55,00",106000,1927,1968,"1/3","ei","hyvä","oma","E"
"Lauste","2h, k, kph","kt","59,00",54000,915,1973,"1/3","on","tyyd.","vuokra","F2013"
"Iso-heikkilä","2h,k,vh,kph,p","kt","56,00",135000,2411,1960,"1/7","on"," ","oma","E2007"
"Ilpoinen","2 h+k+kph+p","kt","55,00",112500,2045,1972,"1/3","on","hyvä","oma","C2018"
"Pohjola","2h,kk,vh,kph,p","kt","37,00",146668,3964,1956,"1/6","on","hyvä","oma","F2013"
"Runosmäki","2h,k,s,p","kt","63,00",63000,1000,1975,"1/3","ei","tyyd.","oma","C2007"
"Satama","2 h,k,vh,s","kt","51,00",215635,4228,2019,"1/6","on"," ","oma","B2013"
"Keskusta / linnanfältti","2 h,kt,vh,p","kt","46,00",186000,4043,2020,"1/3","on"," ","vuokra","B2018"
"Runosmäki","2 h, kk, ph/wc, p","kt","50,50",60000,1188,1974,"1/3","ei","tyyd.","oma","C2007"
"Nättinummi","2h, k","kt","59,00",137000,2322,1973,"1/7","on","hyvä","oma","D2013"
"Keskusta / linnanfältti","2 h,kt,vh","kt","45,00",179000,3978,2020,"1/3","on"," ","vuokra","B2018"
"Harittu","2h, k, s","kt","63,00",116000,1841,1987,"1/3","ei","hyvä","oma","D2007"
"Uittamo","2h,kk,kph,vh,las.p","kt","45,00",99300,2207,1970,"1/4","ei","hyvä","oma","E2013"
"Majakkaranta","2h, kk, s","kt","48,50",163000,3361,1996,"1/5","on","hyvä","oma","F2013"
"Hepokulta","2h+k","kt","59,00",69500,1178,1970,"1/4","on","tyyd.","oma","F2013"
"Lauste","2h, k, p","kt","57,00",48500,851,1973,"1/4","ei","hyvä","vuokra","D"
"Kakolanmäki","2h,kt,s","kt","52,00",160000,3077,2015,"1/4","on","hyvä","vuokra","B2013"
"Puistomäki","2h,k,kph,s,patio","kt","50,00",166000,3320,1997,"1/2","ei","hyvä","oma","D2007"
"Pohjola","2h,kk,kph,vh,la...","kt","55,00",169000,3073,1956,"1/6","on","hyvä","oma","F2013"
"Ispoinen","2h, k, las.p","kt","59,00",93000,1576,1969,"1/4","on","hyvä","oma","F2013"
"Koivula","2h,k,kph,vh+las...","kt","64,00",105000,1641,1985,"1/3","ei","hyvä","oma","C2007"
"Vasaramäki","2h, k, kh, p","kt","50,00",89000,1780,1961,"1/1","ei","tyyd.","vuokra","F2007"
"Kakolanmäki","2h, kt","kt","43,00",155000,3605,2019,"1/3","on","hyvä"," ","C"
"Satama","2 h,kt,vh","kt","43,00",184500,4291,2019,"1/7","on"," ","oma","B2013"
"Katariina","2h+k+p","kt","69,50",152000,2187,1988,"1/3","on","hyvä","vuokra","E2013"
"Keskusta / linnanfältti","2 h,kt","kt","37,00",158490,4284,2020,"1/3","on"," ","vuokra","B2018"
"Keskusta / linnanfältti","2 h,kt,s","kt","49,00",227308,4639,2019,"1/5","on"," ","oma","B2018"
"Ilpoinen","2 h + k","kt","55,00",80000,1455,1970,"1/3","ei"," ","oma","F2013"
"Port arthur","2h,k,las.p","kt","51,00",183000,3588,1963,"1/8","on","hyvä","oma","E2013"
"Keskusta","2h+k+kph/wc+par...","kt","57,00",167000,2930,1954," ","on","huono","oma","C2007"
"Kakola","2h,avok., kph, ...","kt","41,00",176500,4305,2017," ","on","hyvä","vuokra","C2018"
"Runosmäki","3 h, k, ph, vh, p","kt","74,00",82000,1108,1974,"9/9","on","tyyd.","oma","F2007"
"Keskusta länsi","3h, kk, kh, par...","kt","60,50",215000,3554,1963,"8/8","on","tyyd.","oma","F2013"
"Nättinummi","3 H, K, P","kt","76,50",125000,1634,1977,"8/9","on","hyvä","oma","B2007"
"Itäinen turku","2mh, oh, kk, kp...","kt","50,00",174000,3480,1964,"8/8","on","tyyd.","oma","F2013"
"Lauste","3h, k, kph, wc ...","kt","75,50",95000,1258,1976,"8/8","on","hyvä","oma","F2013"
"Kupittaa","3h,k,s,2xkph,2x...","kt","89,00",505000,5674,2012,"8/8","on","hyvä","oma","D2018"
"Luolavuori","3h,k,kph,vh","kt","76,00",140000,1842,1967,"8/8","on","tyyd.","oma","D2007"
"Pahaniemi","3H+K","kt","76,50",100000,1307,1980,"8/8","on","hyvä","oma","B2007"
"Keskusta","3h, k, p","kt","63,00",198000,3143,1961,"8/8","on","tyyd.","oma","E2013"
"Laukkavuori","3h, kt, kph, s, p","kt","75,00",144250,1923,1972,"7/7","on","hyvä","oma","C2018"
"Nättinummi","3h+k+parv","kt","75,00",133600,1781,1972,"7/7","on","tyyd.","oma","D2007"
"Varissuo","3 h, k, ph, vh","kt","75,50",57000,755,1977,"7/7","on","huono","oma","F2013"
"Iso-heikkilä","3h, k","kt","66,00",150000,2273,1962,"7/7","on","hyvä","oma","F"
"Laukkavuori","3h+k+kph+erill....","kt","75,00",137000,1827,1972,"7/7","on","tyyd.","oma","C2018"
"Keskusta","3h,k","kt","62,00",198000,3194,1964,"7/8","on","hyvä","oma","F2013"
"Hannunniittu","3h, k, kph, p","kt","69,50",160000,2302,1967,"7/7","on","hyvä","oma","G2013"
"Satama","3h,kt,s,lasit. p","kt","57,00",236750,4154,2020,"7/7","on"," ","vuokra","B2018"
"Kurala","3 h, k, vh, p","kt","69,50",142000,2043,1967,"7/7","on","hyvä","oma","D2007"
"Hepokulta","3h+k+vh+kph+wc+p","kt","79,00",78000,987,1973,"7/8","ei","tyyd.","oma","F2013"
"Runosmäki","3 h, k, ph, wc,...","kt","75,00",105000,1400,1973,"7/8","on","hyvä","oma","C2007"
"Patterinhaka","3h+kk+kph+parveke","kt","56,00",119000,2125,1957,"7/7","on","tyyd.","oma","F2013"
"Satama","3 h,k,s,khh,eri...","kt","104,00",493000,4740,2020,"7/7","on"," ","oma","A2018"
"Luolavuori","3h, k, p","kt","76,00",132000,1737,1967,"6/8","on","tyyd.","oma","D2013"
"Satama","3 h,k,s,vaateh,...","kt","91,00",468000,5143,2022,"6/6","on"," ","oma","A2018"
"Satama","3 h,k,s,khh,eri...","kt","89,00",414000,4652,2020,"6/7","on"," ","oma","A2018"
"Keskusta","3 h + k + rh + ...","kt","119,00",290000,2437,1961,"6/8","on","tyyd.","oma","E2013"
"Satama","3 h,k,s,parveke","kt","73,00",348000,4767,2020,"6/7","on"," ","oma","A2018"
"Satama","3h,kt,s. erill....","kt","72,00",269000,3736,2020,"6/7","on"," ","vuokra","B2018"
"Uittamo","3h, k, p","kt","66,00",136000,2061,1965,"6/7","on","hyvä","oma","E"
"Runosmäki","3 h, k, kph, wc...","kt","79,00",99000,1253,1972,"6/7","on","hyvä","oma","D2007"
"Patterinhaka","3h, kt, s, p","kt","51,00",217000,4255,2017,"5/8","on","hyvä","oma","C2013"
"Keskusta","3h, k","kt","86,00",315000,3663,1919,"5/7","on","hyvä","oma","D2007"
"Ilpoinen","3h,k,kph,lasite...","kt","73,00",117000,1603,1972,"5/7","on","hyvä","oma","C2018"
"Satama","3 h,k,s,vaateh,...","kt","74,00",335000,4527,2022,"5/6","on"," ","oma","A2018"
"Nummi","3h, k, kh","kt","61,00",167000,2738,1958,"5/10","on","hyvä","oma","D"
"Satama","3 h,k,s,p","kt","65,00",290000,4462,2022,"5/6","on"," ","oma","A2018"
"Satama","3 h,k,s,vaateh,...","kt","74,00",335000,4527,2022,"5/6","on"," ","oma","A2018"
"Luolavuori","3h,k,kph,vh,lp","kt","76,00",177500,2336,1967,"5/8","on","hyvä","oma","D2007"
"Satama","3 h,k,s,p","kt","65,00",290000,4462,2022,"5/6","on"," ","oma","A2018"
"Satama","3 h,k,vh,s","kt","61,00",267000,4377,2019,"5/6","on"," ","oma","B2013"
"Satama","3 h,k,s,parveke","kt","73,00",337000,4616,2020,"5/7","on"," ","oma","A2018"
"Port arthur","3h,k,kph,p","kt","67,00",237000,3537,1955,"5/5","on","hyvä","oma","G2013"
"Westpark","3 h + kt + s","kt","77,00",287000,3727,2015,"5/5","on","hyvä","oma","C2013"
"Keskusta","3h,kk,kph,parveke","kt","58,00",165000,2845,1962,"5/8","on","hyvä","oma","D2013"
"Laukkavuori","3h, avokeitti&#...","kt","75,00",139000,1853,1971,"5/7","on","hyvä","oma","F"
"Satama","3 h,k,s,erill. ...","kt","81,00",376000,4642,2020,"5/6","on"," ","oma","A2018"
"Satama","3 h,k,s,erill. ...","kt","81,00",376000,4642,2020,"5/6","on"," ","oma","A2018"
"Keskusta","3h, k, p","kt","78,00",259000,3321,1963,"5/8","on","hyvä","oma","F2013"
"Satama","3 h,k,s","kt","55,00",255000,4636,2019,"5/7","on"," ","oma","B2013"
"Ispoinen","3h,k,kph,wc,p","kt","75,00",110000,1467,1967,"5/5","on","tyyd.","oma","F2013"
"Port arthur","3h,k,kph,p","kt","66,00",200000,3030,1955,"5/5","on","hyvä","oma","G2013"
"Nättinummi","3h, k, kph, eri...","kt","75,00",109500,1460,1973,"5/7","on","tyyd.","oma","D2007"
"Luolavuori","3h,k,p","kt","76,00",129500,1704,1967,"5/8","on","tyyd.","oma","D2013"
"Ilpoinen","3 h,k","kt","67,00",140000,2090,1971,"5/8","ei","hyvä","oma","D2018"
"Ilpoinen","3h, k, kh, wc, p","kt","67,00",112000,1672,1971,"5/8","on","hyvä","oma","E2013"
"Itäinen keskusta","3 h, k, s","kt","83,50",294000,3521,1999,"5/8","on","hyvä","oma","F2013"
"Keskusta","3 h, k, kph, s, p.","kt","80,50",230000,2857,1936,"5/6","on","hyvä","oma","C2007"
"Luolavuori","3h, k, p","kt","63,00",147000,2333,1961,"5/8","on","hyvä","oma","G2007"
"Satama","3 h,k,s","kt","55,00",250000,4545,2019,"4/7","on"," ","oma","B2013"
"Satama","3 h,k,s,p","kt","65,00",285000,4385,2022,"4/6","on"," ","oma","A2018"
"Satama","3 h,k,s,vaateh,...","kt","74,00",329000,4446,2022,"4/6","on"," ","oma","A2018"
"Lauste","3h,k,kph,erill....","kt","75,50",90000,1192,1976,"4/7","on","hyvä","oma","F2013"
"Vasaramäki","3h, k,p","kt","72,00",130000,1806,1961,"4/4","ei","tyyd.","vuokra","F2007"
"Suikkila","3h+k","kt","80,00",130000,1625,1971,"4/5","on","tyyd.","oma","F2013"
"Satama","3 h,k,s,p","kt","65,00",285000,4385,2022,"4/6","on"," ","oma","A2018"
"Satama","3 h,k,s,parveke","kt","73,00",335000,4589,2020,"4/7","on"," ","oma","A2018"
"Satama","3 h,k,s,vaateh,...","kt","74,00",329000,4446,2022,"4/6","on"," ","oma","A2018"
"Keskusta","3h,k,s","kt","169,00",737000,4361,1927,"4/7","on","hyvä","oma",
"Keskusta","3h+k+s","kt","80,50",219000,2720,1936,"4/6","on","tyyd.","oma","C2007"
"Keskusta","3 h,kt,s","kt","75,50",359000,4755,2015,"4/6","on","hyvä","oma",
"Härkämäki","3h+k+2vh+kph+p","kt","80,00",87000,1088,1980,"4/9","on"," ","oma","C2013"
"Satama","3 h,k,s,khh,eri...","kt","89,00",386000,4337,2020,"4/7","on"," ","oma","A2018"
"Raunistula","3h, k, s","kt","79,00",235000,2975,2005,"4/4","on","hyvä","oma","E"
"Keskusta","3h+keittiö...","kt","104,50",330000,3158,1982,"4/8","on","tyyd.","oma","E2013"
"Keskusta / linnanfältti","2-3 h,kt,s,eril...","kt","75,00",334900,4465,2019,"4/5","on"," ","oma","B2018"
"Hannunniittu","3h, k, p","kt","66,00",148500,2250,1968,"4/7","on","tyyd.","oma","D2013"
"Luolavuori","3h+kk","kt","51,00",132000,2588,1961,"4/8","on","hyvä","oma","G2013"
"Uittamo","3h,k, p","kt","80,00",122000,1525,1976,"4/7","on","tyyd.","oma","D2007"
"Ruohonpää","3h,k,s, lasitet...","kt","72,00",201000,2792,2003,"4/4","on","hyvä","oma","C2007"
"Suikkila","3h,k,kph,s,lp","kt","79,00",150000,1899,1984,"4/5","on","tyyd.","oma","D2013"
"Kakolanmäki","3h,kt,s","kt","63,00",238000,3778,2015,"4/4","on","hyvä","vuokra","B2013"
"Hannunniittu","3h+k","kt","69,50",132000,1899,1967,"4/7","on","hyvä","oma","D2007"
"Vasaramäki","3h, k, kh, p","kt","58,50",105000,1795,1961,"4/4","ei","tyyd.","vuokra","F2007"
"Telakkaranta","3h+k+kph/wc+s","kt","72,50",332500,4586,2015,"4/7","on","hyvä","oma","C2013"
"Itäinen keskusta","3h, k","kt","73,00",248000,3397,1964,"4/7","on","hyvä","oma","F2013"
"Suikkila","3h,k,kph,vh,p","kt","66,00",134000,2030,1969,"4/8","on","hyvä","oma","F2013"
"Hannunniittu","3h, k, p","kt","67,50",115000,1704,1967,"4/7","on","tyyd.","oma","D"
"Ispoinen","3h, k","kt","76,00",145000,1908,1970,"4/7","on","hyvä","oma","F2013"
"Jäkärlä","3h+k","kt","80,00",70500,881,1983,"3/3","ei","tyyd.","oma","F2013"
"Vasaramäki","3 h+k","kt","65,00",126000,1938,1969,"3/5","on","tyyd.","oma","D2007"
"Lauste","3h,k,kph,wc,lp.","kt","76,00",110000,1447,1975,"3/8","on","hyvä","vuokra","C2007"
"Satama","3 h,k,s,p","kt","65,00",280000,4308,2022,"3/6","on"," ","oma","A2018"
"Satama","3 h,k,s,p","kt","65,00",280000,4308,2022,"3/6","on"," ","oma","A2018"
"Itäinen keskusta","3h+k","kt","85,50",325000,3801,1969,"3/8","on","hyvä","oma","E2013"
"Koivula","3h+k+s","kt","79,50",146000,1836,1985,"3/3","ei","hyvä","oma","C2007"
"Kastu","3h, k, p","kt","76,00",110000,1447,1966,"3/3","ei","huono","oma","F2013"
"Martti","3h + k","kt","69,00",198000,2870,1961,"3/7","on","tyyd.","oma","D2007"
"Ilpoinen","3h,k","kt","67,00",91597,1367,1971,"3/8","on","hyvä","vuokra","E2013"
"Lauste","3h+k+kph+wc+lp.","kt","76,00",70000,921,1973,"3/4","on","tyyd.","vuokra","F2013"
"Satama","3 h,k,s,vaateh,...","kt","74,00",314000,4243,2022,"3/6","on"," ","oma","A2018"
"Satama","3 h,k,s,vaateh,...","kt","74,00",324000,4378,2022,"3/6","on"," ","oma","A2018"
"Uittamo","3h+keittiö...","kt","66,00",136000,2061,1965,"3/7","on","tyyd.","oma","E2013"
"Vasaramäki","3h, k,p","kt","62,00",113000,1823,1961,"3/4","ei","tyyd.","vuokra","F2007"
"Vasaramäki","3h, k, kh, p","kt","58,50",125775,2150,1961,"3/4","ei","hyvä","vuokra","F2007"
"Itäharju","3h+k","kt","66,00",163000,2470,1966,"3/4","ei","hyvä","oma","F2013"
"Luolavuori","3h+k","kt","59,00",175000,2966,1958,"3/5","ei","hyvä","oma","F2013"
"Keskusta","3h,k,kh,p","kt","73,00",260000,3562,1961,"3/8","on","hyvä","oma","F2013"
"Vasaramäki","3h, k,p","kt","72,00",128000,1778,1961,"3/4","ei","tyyd.","vuokra","F2007"
"Vasaramäki","3h, k, p","kt","83,00",191000,2301,1963,"3/4","ei","hyvä","oma","F"
"Satama","3 h,k,s,parveke","kt","73,00",316500,4336,2020,"3/7","on"," ","oma","A2018"
"Keskusta","3h, k","kt","82,00",220000,2683,1958,"3/7","on","hyvä","oma","F2013"
"Suikkila","3h, k, kph","kt","80,00",157000,1963,1974,"3/6","on"," ","oma","G2013"
"Keskusta","3h,k,kh,parv","kt","69,00",224000,3246,1955,"3/4","on","hyvä","oma","D2007"
"Keskusta / linnanfältti","2-3 h,kt,s","kt","63,00",305000,4841,2019,"3/5","on"," ","oma","B2018"
"Kakolanmäki","3h, kt","kt","54,50",232000,4257,2019,"3/3","on","hyvä"," ","C"
"Jäkärlä","3h,k,vh,wc,kph,...","kt","76,00",76000,1000,1981,"3/3","ei","hyvä","oma","F2013"
"Pohjola","3h, k","kt","66,00",160000,2424,1956,"3/3","ei","tyyd.","oma","F"
"Laukkavuori","3h,k,wc,kph,p","kt","75,00",138627,1848,1972,"3/7","on","hyvä","oma","G2013"
"Jäkärlä","3h,k,kph,vh,p","kt","78,00",63000,808,1982,"3/3","ei","hyvä","oma","F2013"
"Satama","3h,kt,s. erill....","kt","71,00",242750,3419,2020,"3/7","on"," ","vuokra","B2018"
"Hepokulta","3 h,k,kph,wc, parv","kt","77,00",55000,714,1970,"3/4","on"," ","oma","F2013"
"Vasaramäki","3,h,k,kph,parv","kt","77,00",141000,1831,1957,"3/4","ei","hyvä","vuokra","F2013"
"Varissuo","3h, k","kt","76,50",73000,954,1976,"3/9","on","tyyd.","oma","F"
"Satama","3h,kt,s","kt","57,00",213650,3748,2020,"3/7","on"," ","vuokra","B2018"
"Satama","3 h,k,s","kt","55,00",250000,4545,2019,"3/7","on"," ","oma","B2013"
"Nättinummi","3h,k,p, s","kt","76,50",132000,1725,1976,"3/9","on","hyvä","oma","E2013"
"Keskusta","3h+k+s+vh+p","kt","72,00",219000,3042,1983,"3/5","on","tyyd.","oma","D2007"
"Uittamo","3 h+k+wc+kph+kh...","kt","82,00",153000,1866,1974,"3/7","ei","hyvä","oma","C2007"
"Martti","3h, kk, kh","kt","60,00",182000,3033,1939,"3/5","on","hyvä","vuokra","D2013"
"Suikkila","3h,k,kph,vh,p","kt","66,00",130000,1970,1968,"3/8","on","hyvä","oma","F2013"
"Vasaramäki","3h,k,kph,lasit ...","kt","63,00",162000,2571,1962,"2/5","on","tyyd.","oma","F2013"
