"Stadsdel ◄","Lägenhet","Bos.t. ◄","m2 ◄","Sk.fr. pris € ◄","€/m2 ◄","Br ◄","Vån ◄","Hiss ◄","Skick ◄","Tomt ◄","Energik. ◄"
"Keskusta","2h,k,kph,las p","kt","48,00",175010,3646,1959,"8/9","on","tyyd.","oma","F2013"
"Ilpoinen","2h+k","kt","52,50",110000,2095,1971,"8/8","on","hyvä","oma","E"
"Härkämäki","2h, k, kph, lp","kt","65,00",66000,1015,1982,"8/8","on","tyyd.","oma","E2013"
"Turku","2 h, k, kh, p","kt","45,00",185000,4111,1998,"7/7","on","hyvä","oma","C2007"
"Itäinen keskusta","2h,kk,kph,parveke","kt","35,00",175000,5000,1962,"7/7","on","hyvä","oma","G2013"
"Keskusta","2h, k, parv, kh","kt","51,00",185000,3627,1962,"7/8","on","hyvä","oma","F2013"
"Keskusta länsi","2h, kk, p","kt","47,00",149000,3170,1969,"7/7","on","tyyd.","oma","F2018"
"Turku","2h+kk","kt","40,00",134000,3350,1962,"7/8","on","tyyd.","oma","D2007"
"Härkämäki","2h, k, kph, vh, lp","kt","60,00",70000,1167,1982,"7/8","on"," ","oma","D2013"
"Keskusta","2h+kk","kt","37,00",145000,3919,1958,"7/8","on","hyvä","oma","D2007"
"Keskusta","2h+kk+kh+pv","kt","41,50",141000,3398,1962,"7/7","on","tyyd.","oma","F2013"
"Itäinen keskusta","2h,k,kph,parveke","kt","50,00",185000,3700,1962,"7/7","on","hyvä","oma","F2013"
"Martti","2h+k+s","kt","55,50",182100,3281,1948,"6/7","on","hyvä","oma","G2007"
"Kakolanmäki","2H,KT,S,P","kt","51,50",255600,4963,2022,"6/6","ei","hyvä","vuokra","B2018"
"Petrelius","2 h, avok, kph/...","kt","61,00",155000,2541,1973,"6/8","on","hyvä","oma","F2013"
"Patterinhaka","2h, kt, p","kt","41,00",195000,4756,2017,"6/8","on","hyvä","oma","C2013"
"Raunistula","2h+kt+p","kt","37,50",223900,5971,2019,"6/6","on","hyvä","oma","C2013"
"Iso-heikkilä","2h+kk","kt","44,00",115000,2614,1957,"6/7","on","tyyd.","oma","C2018"
"Martti","2h+k+s","kt","40,50",176000,4346,2009,"6/7","on","hyvä","oma","B2018"
"Satama","2 h,k,vh,parveke","kt","57,00",262000,4596,2020,"6/7","on"," ","oma","A2018"
"It. keskusta","2h, k","kt","61,50",175000,2846,1970,"6/7","on","tyyd.","oma","F"
"Itäinen keskusta","2h+k+kph+p","kt","53,00",143000,2698,1966,"6/6","on","tyyd.","oma","D2013"
"Herttuankulma","2h+kt","kt","35,50",159000,4479,2020,"6/7","on","hyvä"," ","B2018"
"Runosmäki","2 h, kk, ph/wc, p","kt","50,50",67000,1327,1975,"6/6","on","tyyd.","oma","B2007"
"Keskusta","2h+kk","kt","45,00",202249,4494,1958,"6/7","on","hyvä","oma","G2013"
"Itäinen keskusta","2h, k","kt","54,00",196000,3630,1963,"6/9","on","hyvä","oma","F"
"Itäinen keskusta","2h+kk","kt","45,00",167500,3722,1963,"6/9","on","hyvä","oma","D2007"
